Course,Title,Pathways Area,Writing Intesive / College Options
HEBRW 352,Hebrw Lit 1880-1947," ",Language
HIST 134W,Writing Tutorial," ",Writing Intensive
HIST 266W,Contemp Amer 1945-Present," ",Writing Intensive
HIST 271W,Hst Us Wom:1880-Pres," ",Writing Intensive
HTH 210H,Ancient Worlds," ",Writing Intensive
HTH 230H,The Early Modern World," ",Writing Intensive
ITAL 45W,Italian Culture and Thought,Flexible Core - World Cultures & Global Issues,Writing Intensive
ITAL 112,Elementary Italian II," ",Language
ITAL 203,Intermediate Italian I,Flexible Core - World Cultures & Global Issues,Language
JOURN 101W,Introduction To News Reporting," ",Writing Intensive
JPNS 204,Intermediate Japanese II," ",Language
JPNS 211,Classical Japanese I," ",Language
KOR 203,Intermediate Korean I," ",Language
MEDST 201W,Media Criticism," ",Writing Intensive
MEDST 320W,"Gender, Sexuality, and Media"," ",Writing Intensive
MEDST 322W,Youth Culture and Media," ",Writing Intensive
MEDST 341W,Theory of Film," ",Writing Intensive
MEDST 343W,Nonfiction Forms," ",Writing Intensive
MEDST 352W,Discourse: Classical Period," ",Writing Intensive
MUSIC 8H,VT:Stdies In Music," ",Writing Intensive
MUSIC 246W,Western Music History I,Flexible Core - World Cultures & Global Issues,Writing Intensive
PHIL 101W,Introduction to Philosophy,Flexible Core - Individual and Society,Writing Intensive
PHIL 104W,Introduction to Ethics,Flexible Core - Individual and Society,Writing Intensive
PHIL 270W,Major Philosophical Thinkers," ",Writing Intensive
PHYS 204,Physics for Computer Science 2,Required Core - Life and Physical Sciences,Science
PSCI 2954W,Internship in Law and Advocacy," ",Writing Intensive
PSCI 2964W,Intern:Intntl Polits," ",Writing Intensive
PSCI 2969W,Intern: International Politics," ",Writing Intensive
RUSS 245,Russian Short Story," ",Literature
RUSS 285,Russ Silver Age & Avant-Garde," ",Literature
SEYS 201W,"Hst, Soc & Phil Found"," ",Writing Intensive
SOC 135W,Writing Workshop," ",Writing Intensive
SPAN 215,Spanish Conversation," ",Language
SPAN 305,Survey of Spanish Literature I," ","Language, Language"
SPAN 310,Cult & Civ Of Spain," ",Language
URBST 135W,Urban Studies Writing Workshop," ",Writing Intensive
WGS 3903W,Tutorial," ",Writing Intensive
BUS 160W,Intro To Bus Writ," ","Writing Intensive, Writing Intensive"
CHIN 358,The Wrkng of the Chinese Media," ",Language
SPAN 53,Don Quixote in Translation," ",Literature
CMLIT 220W,East Asian Lit Beginnings-1300," ","Writing Intensive, Writing Intensive"
PHYS 320W,Rsrch And Writing In Sci," ",Writing Intensive
ASTR 3,Intro Astronomy with Lab,Required Core - Life and Physical Sciences,Science
BIOL 14,Intro Biology and Society,Required Core - Life and Physical Sciences,"Science, Science"
FNES 250W,Research Methods Human Dev," ",Writing Intensive
URBST 134W,Writing Tutorial," ",Writing Intensive
BIOL 352,Anthropological Genomics," ","Synthesis, Synthesis"
ANTH 104,"Language, Culture, and Society",Flexible Core - Individual and Society,Language
ENGL 350,Early American Literature," ",Literature
BIOL 40,Anatomy and Physiology I,Required Core - Life and Physical Sciences,Science
MATH 114W,Elementary Prob&Stat,Required Core - Mathematical&QuantitativeReasoning,Writing Intensive
PORT 41,Global Port Lit in Translation," ",Literature
GEOL 328W,Volcanoes and Climate," ",Writing Intensive
MATH 342W,Data Sci via Machine Learning," ",Writing Intensive
MEDST 223W,Media Writing," ",Writing Intensive
RUSS 175,Russian Fairy Tales," ",Literature
PSYCH 314W,Adv Exp Psy: Soc Pers," ",Writing Intensive
PSYCH 316W,Adv Exp Psy: Neurobio," ",Writing Intensive
PSYCH 321W,Adv Exp Psych: Clinical," ",Writing Intensive
ECON 102,Introduction to Microeconomics,Flexible Core - Individual and Society," "
PSCI 210,State & Local Government in US,Flexible Core - US Experience in its Diversity," "
FREN 45,French and Francophone Culture,Flexible Core - World Cultures & Global Issues," "
CMLIT 208,Lit&Society N.Africa&Mid East,Flexible Core - World Cultures & Global Issues," "
PSCI 234,Politics of Europe,Flexible Core - World Cultures & Global Issues," "
ARTH 102,History of Western Art II,Flexible Core - Creative Expression," "
CSCI 112,Intro Algori Prob Solving Java,Required Core - Mathematical&QuantitativeReasoning," "
LALS 103,Intro to Latinx Ethnic Identi,Flexible Core - US Experience in its Diversity," "
DANCE 151,Dance And Culture,Flexible Core - World Cultures & Global Issues," "
AFST 100,Intro to Africana Studies,Flexible Core - US Experience in its Diversity," "
MATH 128,Mathematical Design,Required Core - Mathematical&QuantitativeReasoning," "
HIST 166,VT: History and Memory,Flexible Core - Individual and Society," "
EURO 120,Writing European Lit & Culture,Required Core - English Composition," "
ACCT 261,Business Law I,Flexible Core - Individual and Society," "
PSCI 100,Amer Politics/Govt,Flexible Core - US Experience in its Diversity," "
URBST 120,Writing in Urban Studies,Required Core - English Composition," "
CMLIT 210,Early Modern Atlantic World,Flexible Core - World Cultures & Global Issues," "
MATH 110,Math Literacy,Required Core - Mathematical&QuantitativeReasoning," "
AFST 234W,Black Women Writers," ",Writing Intensive
AMST 134W,Writing Tutorial," ",Writing Intensive
ANTH 103,Introduction to Archaeology,Flexible Core - Scientific World,Science
ARAB 306,Advanced Arabic II," ",Language
BALA 302,Law and Ethics of Business," ",Writing Intensive
CHIN 101,Elementary Chinese I," ",Language
CHIN 312,Advanced Classical Chinese," ",Language
CHIN 314,"Grammar, Rhet & Comp"," ",Language
CHIN 315,Writing Modern Chinese," ",Language
CHIN 360,Traditional Chinese Literature," ",Language
CHIN 370,Chinese Short Story," ",Language
EAST 130W,East Asian Religion," ",Writing Intensive
ENGL 151,Readings in British Literature," ",Literature
ENGL 332,Shakespeare I," ",Literature
ENGL 369,Asian American Literature," ","Literature, Literature"
FNES 101,The Science of Foods,Required Core - Life and Physical Sciences,Science
FNES 161W,Intro Teaching  Phys Educ," ",Writing Intensive
FREN 41,French and Francophone Lit," ",Literature
FREN 360,French & Franco Novel 1900," ",Language
FREN 380,Women's Writing in French," ",Language
GEOL 64,Planetary Geology," ",Science
GEOL 102,History of Earth and Life,Required Core - Life and Physical Sciences,"Science, Science"
GERM 41W,German Lit in Translatiion," ","Literature, Writing Intensive"
GERM 350,Grmn Lit- Indstrl Age," ",Language
GRKMD 204,Intermediate Modern Greek II,Flexible Core - World Cultures & Global Issues,Language
HEBRW 315,Hebrw Writ Wksp," ",Language
HIST 200W,VT: Selected Studies in Hist," ",Writing Intensive
HIST 217W,The French Revolution," ",Writing Intensive
HIST 265W,The US 1920-1945 II," ",Writing Intensive
HIST 395W,Research and Writing Tutorial," ",Writing Intensive
HON 350W,Sr Thesis," ",Writing Intensive
ITAL 41,Italian Lit in Translation," ",Literature
ITAL 235,Commercial and Technical Ital," ",Language
JPNS 311,Advanced Texts I," ",Language
PHYS 5,Physics and the Future,Flexible Core - Scientific World,Science
PHYS 396W,Senior Research Project II," ",Writing Intensive
PORT 112,Elementary Portuguese II," ",Language
PSCI 2959W,Internship in Law and Advocacy," ",Writing Intensive
PSCI 2964,Intern:Intl Poltcs," ",Writing Intensive
PSCI 381W,Seminar in American Politics," ",Writing Intensive
